Sno.,PName,Desc,Keywords,Date,Plink
11,Braille Keyboard Stickers for the Blind and Visually Impaired by DataCal,"Braille Keyboard Stickers for the Blind and Visually Impaired by DataCal is a set of products designed for the blind and visually impaired to use. Braille stickers are an economical option for creating a bilingual Braille keyboard. The stickers use a peel-and-stick method to install. The Braille stickers are printed on clear Lexan so the original key legend shows through this allows the user to add Braille stickers to their existing keyboard so that it becomes a bilingual keyboard (Braille) and the original language of the keyboard. They will not ooze adhesive, dry out or damage the original keyboard key. ","['Visually Impaired', 'Braille stickers', 'language', 'blind', 'Braille keyboard', 'method', 'keyboard', 'key legend', 'user', 'option', 'Braille', 'Lexan', 'Blind', 'set', 'keyboard key', 'Braille Keyboard Stickers', 'DataCal', 'product', 'sticker']",03/15/2019,https://abledata.acl.gov/product/braille-keyboard-stickers-blind-and-visually-impaired-datacal
12,Bright Switch for the Visually Impaired,"Bright Switch for the Visually Impaired is a switch designed for users that are visually impaired or have low vision. When the switch is activated, the blinking light flashes yellow while music plays, and the switch vibrates. A switch set on the bottom allows the user to choose any or all stimuli. The bright blinker can also be turned off.","['vision', 'blinking', 'Visually Impaired', 'switch', 'stimulus', 'music plays', 'Bright Switch', 'user', 'flash', 'bottom', 'blinker']",06/01/2016,https://abledata.acl.gov/product/bright-switch-visually-impaired
13,Sentino Cooktop,"---- PROTOTYPE --------- PURPOSE: To design a prototype of a cooktop for individuals who are blind or have low vision. The Sentino Cook Top is designed to make cooking simpler and safer for individuals with visual disabilities. It features three cooking surfaces with indentations around each surface so that the user can locate them without risking being burned. The Sentino Cook Top's has tactile controls in front of each cooking surface that provide tactile and audio feedback when activated. The product has been thoroughly tested for its aesthetics, scalability, and user interaction. TITLE: Sentino Cook Top For Visually Impaired People. WEBSITE: Tuvie. REF: http://www.tuvie.com/sentino-cook-top-for-visually-impaired-people.","['REF', 'aesthetic', 'cooktop', 'scalability', 'tactile controls', 'safer', 'TITLE', 'feedback', 'front', 'Visually Impaired People', 'Sentino Cook Top', 'cooking surfaces', 'user', 'cooking simpler', 'individual', 'Tuvie', 'disability', 'interaction', 'http', 'surface', 'vision', 'product', 'tactile', 'indentation', 'prototype', 'WEBSITE', 'PURPOSE', 'PROTOTYPE']",08/05/2013,https://abledata.acl.gov/product/sentino-cooktop
14,"Huanxi Talking Wrist Watch, English Speaking Talking Watch for Blind People or Visually Impaired People or the Elderly with Alarm of Quartz-Stainless","The Huanxi Talking Wrist Watch, English Speaking Talking Watch for Blind People or Visually Impaired People or the Elderly with Alarm of Quartz-Stainless is assistive technology designed for those individuals with low vision and the visually impaired. The user presses a button and they can hear the time announced in a loud, clear voice. This watch is not waterproof.Instruction: Lower left button (Minute/Sound) Top left button ( Hour/12_24 hours) Lower right button ( Mode) Top right button (Talk)","['Alarm', 'Quartz-Stainless', 'Minute/Sound', 'Hour/12_24 hours', 'Mode', 'Blind People', 'loud', 'watch', 'button', 'individual', 'People', 'waterproof.Instruction', 'Talk', 'vision', 'time', 'English Speaking Talking Watch', 'technology', 'Top', 'Top right button', 'voice', 'Huanxi Talking Wrist Watch']",03/13/2019,https://abledata.acl.gov/product/huanxi-talking-wrist-watch-english-speaking-talking-watch-blind-people-or-visually-impaired-people
15,Bump Dots for Visually Impaired,"The Bump Dots for Visually Impaired is an accessibility product designed for those individuals who are visually impaired to see the keys on their keyboard or on everyday items such as microwave, remote controls, telephone keypads, dryer, washer, copiers, printers, small appliance controls and switches. Soft self-adhesive protectors will quickly and easily attach to any surface. Made in the United States of America.","['remote controls', 'Visually Impaired', 'dryer', 'key', 'America', 'item', 'microwave', 'Bump Dots', 'keyboard', 'telephone keypads', 'copier', 'switch', 'individual', 'printer', 'appliance controls', 'United States', 'surface', 'protector', 'product']",03/08/2019,https://abledata.acl.gov/product/bump-dots-visually-impaired
16,"Extra Large Talking Button Clock - for The Blind, Elderly or Visually impaired","The Extra Large Talking Button Clock - for The Blind, Elderly or Visually impaired is designed for those individuals who are visually impaired to tell the time. Good for people with low vision, dementia or hard hearing. Users push the extra large button to hear the current time and push it once again for the current date. Features alarm. Easy to Set with audio instructions.","['time', 'vision', 'hearing', 'button', 'Blind', 'Features', 'individual', 'Users', 'Easy', 'date', 'people', 'Extra Large Talking Button Clock', 'instruction', 'Elderly', 'dementia']",03/14/2019,https://abledata.acl.gov/product/extra-large-talking-button-clock-blind-elderly-or-visually-impaired
17,Smart Baby Buggy,"The Smart Baby Buggy is a sensored baby stroller specifically designed for parents who are blind or visually impaired. Ramona Williams, a woman who is visually impaired, and a team of students from the Department of Bioengineering at Imperial College London, came together to create a stroller that can sense its surroundings and send the user audible and haptic feedback through its handlebar and the accompanying mobile app.Inside the base of the baby carrier, the Smart Baby Buggy is equipped with ultrasound and Light Detection and Ranging (LIDAR) sensors, which can measure distances between it and other objects using light from a pulsed laser. If these sensors detect any objects or obstacles in their path, they will transmit these signals to the processor which will then relay this information to the vibration motors located inside the handlebar. The handlebar will start to vibrate to notify the user that he or she is approaching an object/obstacle in his path, and the vibrations will increase in intensity as the user draws nearer to it. Then the user can better estimate how far he is from the object/obstacle and maneuver the stroller around it. The Smart Baby Buggy app also alerts the user to changes in ground surfaces (e.g., curbs, drop-offs, corners) with audible beeps via Bluetooth.The Smart Baby Buggy also features a cradle for the user’s smartphone, a bracket that can hold the user’s cane when traveling with the stroller, and a bright yellow “Visually impaired parent” sign on the front to inform others that the user has a visual impairment.","['light', 'information', 'Detection', 'object', 'Smart Baby Buggy app', 'change', 'path', 'drop-off', 'signal', 'woman', 'processor', 'Ramona Williams', 'laser', 'student', 'others', 'corner', 'intensity', 'Ranging', 'feedback', 'parent ” sign', 'baby stroller', 'team', '“', 'object/obstacle', 'front', 'impairment', 'user', 'sensor', 'beep', 'e.g.', 'Smart Baby Buggy', 'baby carrier', '’ s cane', 'obstacle', 'distance', 'handlebar', 'vibration motors', 'cradle', 'ground surfaces', 'base', 'user ’ s smartphone', 'surroundings', 'Bluetooth.The Smart Baby Buggy', 'Department', 'LIDAR', 'Bioengineering', 'Imperial College London', 'curb', 'vibration', 'bracket', 'parent', 'stroller']",07/05/2018,https://abledata.acl.gov/product/smart-baby-buggy
18,Sign Language Rings,"The Sign Language Rings are designed to translate the hearing impaired’s sign language motions into voice. The device is intended to help hearing impaired users by translating voice into text which is displayed on top of the bracelet. The Rings are worn around the user’s fingers, and the bracelet is the display screen to view the text.These are wearable devices and come in a set of two objects- the rings and the bracelet. They are a collection of six rings that the hearing impaired person wears on the thumb, index finger and middle finger of each hand. The bracelet is worn on either wrist. The two come as a set and are of no use individually.The Device works when a person talks using sign language, these rings ‘comprehend’ the different movements made by the hands and communicate this information to the bracelet. The bracelet then converts the sign language into words which are then heard from speakers embedded within the bracelet. These items can work vice versa as well. Meaning the bracelet ‘hears’ what the other person is saying and converts it into text that appears on the bracelet itself. The hearing impaired person can then just simply read what is written on the bracelet, thus making the communication circle complete.","['index finger', 'hearing', 'information', 'text', 'language', 'communication circle complete', 'person talks', 'item', 'Sign Language Rings', 'wrist', 'speaker', 'display screen', 'movement', 'device', 'use', 'hand', 'user', 'finger', 'word', '’ s sign language motions', 'person', 'set', 'vice versa', 'Device works', 'bracelet', 'thumb', 'Rings', 'bracelet ‘', 'collection', 'convert', 'person wears', 'voice', 'text.These', 'ring', 'user ’ s fingers', 'sign language', 'top']",10/24/2016,https://abledata.acl.gov/product/sign-language-rings
19,Ultrasonic Goggles,"---- PROTOTYPE --------- PURPOSE: To design a prototype of goggles that assist individuals who have low vision to navigate. Researchers at the Universidad Carlos III in Madrid, Spain have developed a pair of ultrasonic goggles that are intended to make it safer and easier for people who have low vision to get around. Individuals with partial sight experience ""Terminator-style vision"" through the use of two cameras mounted onto a virtual reality headset that is then connected to a small computer. The device scans the area that lies in front of the wearer and displays relevant information concerning the scene in the form of color-coded outlines that allow the user to know the distance and the shape of objects which are traditionally difficult to see or interpret. The device detects objects and people who move within the visual field that a person with no visual disabilities has. Often, the unaided user will not detect these objects due to problems of contrast. Testing is being currently being done within a group of sample patients, and results will be available by the end of 2012 and will be used to improve on future models. AUTHOR: Edwin Kee. TITLE: Ultrasonic goggles help visually impaired get around in a safer manner. WEBSITE: Ubergizmo. REF: http://www.ubergizmo.com/2012/05/ultrasonic-goggles-help-visually-impair....","['area', 'REF', 'information', 'Spain', 'object', 'computer', 'form', 'wearer', 'PROTOTYPE', 'outline', 'scene', 'AUTHOR', 'Testing', '//www.ubergizmo.com/2012/05/ultrasonic-goggles-help-visually-impair', 'TITLE', 'safer manner', 'device', 'use', 'front', 'people', 'user', 'shape', 'Edwin Kee', 'result', 'Researchers', 'reality headset', 'individual', 'person', 'Often', 'display', 'problem', 'goggles', 'field', 'distance', 'model', 'disability', 'Ubergizmo', 'http', 'Universidad Carlos III', 'pair', 'vision', 'camera', 'end', 'Madrid', 'group', 'sample patients', 'Individuals', 'prototype', 'WEBSITE', 'sight experience', 'PURPOSE', 'contrast']",08/28/2012,https://abledata.acl.gov/product/ultrasonic-goggles
20,Sighted Wheelchair,"---- PROTOTYPE --------- PURPOSE: To create a prototype of a robotic wheelchair that uses three dimensional (3D) imaging to allow individuals who are blind or have low vision and use a wheelchair to ""see"" when navigating in the indoor and outdoor environment. Researchers at the Luleå University of Technology (LTU) in Sweden have developed a wheelchair that uses a laser sensor to generate a 3D map of its surroundings, which is then transferred to an on-board haptic robot, allowing the robot to navigate its way around any obstacles. The laser scanner uses time-of-flight technique. Developed by Kalevi Hyyppä and his research team at the LTU division EISLAB, the Sighted Wheelchair has a joystick for steering and the haptic robot acts as a virtual white cane. The 3D map is transferred to the haptic robot so that a visually impaired wheelchair driver can ""feel or see"" obstacles such as open doors or oncoming people and navigate past them. The device was tested by a student with visual impairments who found the experience similar to using a white cane. More research is necessary to improve the Sighted Wheelchair. For example, the laser can only recognize objects at a specific height, while ignoring everything above or below its field of vision. Researchers are also busy developing a new 3D camera for the chair and are hoping to have it ready for commercial use within the next five years. AUTHOR: Amar Toor. TITLE: Robotic wheelchair uses 3D imaging to 'see' for visually impaired drivers. WEBSITE: Engadget. REF: http://www.engadget.com/2011/05/13/robotic-wheelchair-uses-3d-imaging-to....","['REF', 'Engadget', 'Sweden', 'driver', 'door', 'object', 'height', 'cane', 'research team', 'robot acts', 'PROTOTYPE', 'LTU division EISLAB', 'Technology', 'wheelchair driver', 'laser', 'student', 'AUTHOR', 'robot', 'TITLE', 'experience', 'device', 'use', 'people', 'laser scanner', 'impairment', 'chair', 'Researchers', 'year', 'way', 'individual', 'wheelchair', 'technique', 'obstacle', 'indoor', 'example', 'Kalevi Hyyppä', 'field', 'everything', 'http', 'environment', 'Amar Toor', 'LTU', 'vision', 'research', 'camera', 'surroundings', 'dimensional', 'laser sensor', 'prototype', 'Luleå University', 'Sighted Wheelchair', 'WEBSITE', 'imaging', 'map', 'PURPOSE', 'joystick']",09/05/2011,https://abledata.acl.gov/product/sighted-wheelchair
21,Wooden Cane for the Blind and Visually Impaired,The Wooden Cane for the Blind and Visually Impaired is designed for individuals with low vision. The cane is made of select northern hardwood and has a white shaft with red band at base.,"['vision', 'Visually Impaired', 'Blind', 'individual', 'shaft', 'hardwood', 'cane', 'band', 'Wooden Cane', 'base']",03/29/2015,https://abledata.acl.gov/product/wooden-cane-blind-and-visually-impaired
22,DK Braille: Counting Board book,"The DK Braille: Counting Board Book is designed for use by individuals who are blind or have low vision. The device is a series of flagship high-quality, custom books with braille and tactile images for blind and partially sighted children, or sighted children with blind parents. DK Braille books combine uncontracted Unified English Braille and large type with high-contrast colors, embossed images, and tactile cutout shapes for children to feel with their fingers. The combination of text alongside the braille enables sighted parents to share the reading experience with visually impaired children, and for sighted children to share with their visually impaired parents.","['high-quality', 'child', 'image', 'DK Braille', 'blind', 'tactile images', 'combination', 'series', 'device', 'use', 'custom books', 'tactile cutout shapes', 'color', 'finger', 'Counting Board Book', 'share', 'blind parents', 'DK Braille books', 'individual', 'reading experience', 'Unified English Braille', 'vision', 'braille', 'type', 'parent']",10/19/2018,https://abledata.acl.gov/product/dk-braille-counting-board-book
23,Eye Drop Guide,The Eye Drop Guide is assistive technology designed for those people with low vision or the visually impaired to safely administor their own eye drops. Clips into place and positions the bottle at the correct angle over the eye. Special cup prevents blinking by keeping the lower eyelid open while a small pinhole directs eyesight upward and away from the descending drops. This plastic eye drop guide holds an eye drop bottle steady for persons that are blind or visually impaired.,"['vision', 'pinhole directs', 'place', 'person', 'cup prevents', 'eye drops', 'Eye Drop Guide', 'technology', 'bottle', 'eye drop guide', 'angle', 'people', 'eye', 'drop', 'position', 'Clips', 'eye drop bottle']",03/13/2019,https://abledata.acl.gov/product/eye-drop-guide-0
24,Intro To The Guitar For The Visually Impaired,"Intro to the Guitar for the Visually Impaired is an audio music training course designed for use by individuals who are blind or have low vision. This four-part training course teaches the basics of playing the guitar without using any written or Braille notation or visual references. This training course covers the basic chords, rhythms, and notes, and songs to go with them. ""If"" from the Guitar by Ear library is included. OPTIONS: Audio cassette or CD.","['Visually Impaired', 'guitar', 'chord', 'CD', 'Guitar', 'note', 'Braille notation', 'cassette', 'Intro', 'use', 'reference', 'rhythm', 'individual', 'training course', 'song', 'Ear library', 'vision', 'basic', 'music training course']",04/23/2003,https://abledata.acl.gov/product/intro-guitar-visually-impaired
